,LV1.101 Load 1_p_cons,LV1.101 Load 1_q_cons,LV1.101 Load 2_p_cons,LV1.101 Load 2_q_cons,LV1.101 Load 3_p_cons,LV1.101 Load 3_q_cons,LV1.101 Load 4_p_cons,LV1.101 Load 4_q_cons,LV1.101 Load 5_p_cons,LV1.101 Load 5_q_cons,LV1.101 Load 6_p_cons,LV1.101 Load 6_q_cons,LV1.101 Load 7_p_cons,LV1.101 Load 7_q_cons,LV1.101 Load 8_p_cons,LV1.101 Load 8_q_cons,LV1.101 Load 9_p_cons,LV1.101 Load 9_q_cons,LV1.101 Load 10_p_cons,LV1.101 Load 10_q_cons,LV1.101 Load 11_p_cons,LV1.101 Load 11_q_cons,LV1.101 Load 12_p_cons,LV1.101 Load 12_q_cons,LV1.101 Load 13_p_cons,LV1.101 Load 13_q_cons
0,2.1447374999999997,0.868397718,0.32484825,0.0855097105,1.8250175,0.95678661,0.268907,0.05319089750000001,1.4298250000000001,0.579053898,1.0950104999999999,0.5742656475,2.920028,1.5310522575,5.0043875,2.0265055139999997,1.0723687499999999,0.43438198799999994,4.3800419999999995,2.2965783862499998,0.338483,0.015440747500000001,1.460014,0.76552612875,5.0043875,2.0265055139999997
1,2.101368,0.8815532115,0.207447,0.044465215499999995,2.08225875,1.149961358,0.234594,0.0153972975,1.4009120000000002,0.5878260765000001,1.24935525,0.6902096005,3.331614,1.8401709585000001,4.903192000000001,2.0572053644999997,1.050684,0.440962509,4.997421,2.76025643775,0.21207900000000002,0.053340404999999994,1.665807,0.9200854792500001,4.903192000000001,2.0572053644999997
2,2.0883165,0.9301776795,0.162993,-0.0079808905,1.419295,0.7853038960000001,0.1694675,0.0048993825000000005,1.392211,0.6202492245,0.851577,0.4713413059999999,2.2708720000000002,1.256645202,4.8727385000000005,2.1706761285,1.04415825,0.46528499700000003,3.406308,1.8849678029999997,0.144663,0.0091239075,1.1354360000000001,0.628322601,4.8727385000000005,2.1706761285
3,1.5462105,0.8473479800000001,0.18920925,-0.006840848,1.06619375,0.659842716,0.152661,0.0447924075,1.030807,0.56501778,0.63971625,0.396039201,1.7059099999999998,1.055881917,3.6078245,1.9773835399999997,0.77310525,0.42385268,2.558865,1.5838228754999997,0.059690999999999994,0.006316445,0.8529549999999999,0.5279409585,3.6078245,1.9773835399999997
4,1.075053,0.7394686655,0.22796324999999998,0.020522247499999997,0.9155125,0.49554177400000005,0.130252,0.034294295,0.716702,0.49308307049999994,0.5493075000000001,0.2974253765,1.46482,0.7929671505,2.508457,1.7256348065,0.5375265,0.369890273,2.1972300000000002,1.18945072575,0.13202250000000001,0.046322045,0.73241,0.39648357525,2.508457,1.7256348065
5,1.0908419999999999,0.7184201130000001,0.302052,0.018241866,1.035265,0.732246814,0.11414550000000001,0.039893222500000006,0.727228,0.47904774299999997,0.621159,0.4394963165,1.6564240000000001,1.1717431305,2.545298,1.6765155989999998,0.5454209999999999,0.35936155799999997,2.484636,1.7576146957499998,0.047752499999999996,-0.0028074625000000008,0.8282120000000001,0.58587156525,2.545298,1.6765155989999998
6,1.4672640000000001,0.751362787,0.2518995,0.0535861485,1.06678,0.7661031039999999,0.102241,0.0174971175,0.978176,0.501014157,0.6400680000000001,0.45981694399999995,1.7068480000000001,1.2259200479999999,3.423616,1.7533911009999998,0.7336320000000001,0.375839842,2.5602720000000003,1.8388800719999998,0.408708,0.02737192,0.8534240000000001,0.6129600239999999,3.423616,1.7533911009999998
7,3.1106309999999997,0.718420113,0.226824,0.079808905,2.29552625,1.213717986,0.16526600000000002,0.023096045000000003,2.073754,0.47904774299999997,1.37731575,0.7284764834999999,3.6728419999999997,1.9421944695,7.258139,1.6765155989999996,1.5553154999999999,0.35936155799999997,5.509263,2.9132917042499997,0.3911515,0.165635745,1.8364209999999999,0.97109723475,7.258139,1.6765155989999996
8,2.3540010000000002,0.73557489075,0.18921000000000002,0.009120933,2.5847212500000003,1.221486136,0.2878145,0.11967947000000002,1.569334,0.49048667325,1.55083275,0.7331389459999998,4.135554,1.9546250819999997,5.492668999999999,1.7165482372499998,1.1770005000000001,0.36794256449999996,6.203331,2.9319376229999996,0.372191,0.0891347125,2.067777,0.9773125409999999,5.492668999999999,1.7165482372499998
9,2.5158945,0.84208613825,0.17097299999999999,0.021662586499999997,2.6805825,1.27131888,0.15266100000000002,0.009798369999999999,1.677263,0.56150914575,1.6083495,0.76304868,4.288932,2.0343675599999997,5.8704205,1.9651044297499998,1.25794725,0.42122064950000004,6.433398,3.0515513399999996,0.3581460000000001,0.05474403750000001,2.144466,1.0171837799999999,5.8704205,1.9651044297499998
